doc_id,source_pdf,source_md,title,authors,year,topic,arxiv_id,license
adaptive_rag,Adaptive_RAG__Learning_to_Adapt_Retrieval_Augmented_LLMs.pdf,Adaptive_RAG__Learning_to_Adapt_Retrieval_Augmented_LLMs.md,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,Soyeong Jeong; Jinheon Baek; Sukmin Cho; Sung Ju Hwang; Jong C. Park,2024,Adaptive RAG,2403.14403,TBD
attention_is_all_you_need,Attention_Is_All_You_Need.pdf,Attention_Is_All_You_Need.md,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan N. Gomez; Lukasz Kaiser; Illia Polosukhin,2017,Transformer Architecture,1706.03762,TBD
chain_of_thought_prompting,Chain_of_Thought_Prompting_Elicits_Reasoning_in_Large_Language_Models.pdf,Chain_of_Thought_Prompting_Elicits_Reasoning_in_Large_Language_Models.md,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Jason Wei; Xuezhi Wang; Dale Schuurmans; Maarten Bosma; Brian Ichter; Fei Xia; Ed H. Chi; Quoc V. Le; Denny Zhou,2022,LLM Reasoning,2201.11903,TBD
colbertv2,ColBERTv2__Effective_and_Efficient_Retrieval_via_Lightweight_Late_Interaction.pdf,ColBERTv2__Effective_and_Efficient_Retrieval_via_Lightweight_Late_Interaction.md,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,Keshav Santhanam; Omar Khattab; Jon Saad-Falcon; Christopher Potts; Matei Zaharia,2021,Dense Retrieval,2112.01488,TBD
crag,Corrective_Retrieval_Augmented_Generation_(CRAG).pdf,Corrective_Retrieval_Augmented_Generation_(CRAG).md,Corrective Retrieval Augmented Generation,Shi-Qi Yan; Jia-Chen Gu; Yun Zhu; Zhen-Hua Ling,2024,Corrective RAG,2401.15884,TBD
flashattention,FlashAttention__Fast_and_Memory_Efficient_Exact_Attention.pdf,FlashAttention__Fast_and_Memory_Efficient_Exact_Attention.md,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,Tri Dao; Daniel Y. Fu; Stefano Ermon; Atri Rudra; Christopher Re,2022,Transformer Architecture,2205.14135,TBD
graphrag,GraphRAG.pdf,GraphRAG.md,From Local to Global: A GraphRAG Approach to Query-Focused Summarization,Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; Alex Chao; Apurva Mody; Steven Truitt; Dasha Metropolitansky; Robert Osazuwa Ness; Jonathan Larson,2024,Graph RAG,2404.16130,TBD
llama3,Llama_3_herd_of_models.pdf,Llama_3_herd_of_models.md,The Llama 3 Herd of Models,Llama Team; AI @ Meta,2024,LLM Foundation Models,2407.21783,TBD
lora,LoRA__Low_Rank_Adaptation_of_Large_Language_Models.pdf,LoRA__Low_Rank_Adaptation_of_Large_Language_Models.md,LoRA: Low-Rank Adaptation of Large Language Models,Edward Hu; Yelong Shen; Phillip Wallis; Zeyuan Allen-Zhu; Yuanzhi Li; Shean Wang; Lu Wang; Weizhu Chen,2021,Parameter-Efficient Fine-Tuning,2106.09685,TBD
milvus,Milvus__A_Purpose_Built_Vector_Data_Management_System.pdf,Milvus__A_Purpose_Built_Vector_Data_Management_System.md,Milvus: A Purpose-Built Vector Data Management System,Jianguo Wang; Xiaomeng Yi; Rentong Guo; Hai Jin; Peng Xu; Shengjun Li; Xiangyu Wang; Xiangzhou Guo; Chengming Li; Xiaohai Xu; Kun Yu; Yuxing Yuan; Yinghao Zou; Jiquan Long; Yudong Cai; Zhenxiang Li; Zhifeng Zhang; Yihua Mo; Jun Gu; Ruiyi Jiang; Yi Wei; Charles Xie,2021,Vector Databases,,TBD (SIGMOD '21; ACM DOI 10.1145/3448016.3457550 -- no arXiv preprint)
hyde,Precise_Zero_Shot_Dense_Retrieval_without_Relevance_Labels_(The_HyDE_Paper).pdf,Precise_Zero_Shot_Dense_Retrieval_without_Relevance_Labels_(The_HyDE_Paper).md,Precise Zero-Shot Dense Retrieval without Relevance Labels,Luyu Gao; Xueguang Ma; Jimmy Lin; Jamie Callan,2022,Dense Retrieval,2212.10496,TBD
rag_knowledge_intensive,Retrieval_Augmented_Generation_for_Knowledge.pdf,Retrieval_Augmented_Generation_for_Knowledge.md,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Kuttler; Mike Lewis; Wen-tau Yih; Tim Rocktaschel; Sebastian Riedel; Douwe Kiela,2020,RAG Methodology,2005.11401,TBD
self_rag,"SELF_RAG__LEARNING_TO_RETRIEVE,_GENERATE,_AND_CRITIQUE_THROUGH_SELF_REFLECTION.pdf","SELF_RAG__LEARNING_TO_RETRIEVE,_GENERATE,_AND_CRITIQUE_THROUGH_SELF_REFLECTION.md","Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi,2023,Self-RAG,2310.11511,TBD
llava,Visual_Instruction_Tuning_(The_LLaVA_Paper).pdf,Visual_Instruction_Tuning_(The_LLaVA_Paper).md,Visual Instruction Tuning,Haotian Liu; Chunyuan Li; Qingyang Wu; Yong Jae Lee,2023,Multimodal LLMs,2304.08485,TBD
vllm_paged_attention,"vLLM_Easy,_Fast,_and_Cheap_LLM_Serving_with_PagedAttention.pdf","vLLM_Easy,_Fast,_and_Cheap_LLM_Serving_with_PagedAttention.md",Efficient Memory Management for Large Language Model Serving with PagedAttention,Woosuk Kwon; Zhuohan Li; Siyuan Zhuang; Ying Sheng; Lianmin Zheng; Cody Hao Yu; Joseph E. Gonzalez; Hao Zhang; Ion Stoica,2023,LLM Serving,2309.06180,TBD
